"SubNo"	"Hemisphere"	"Block"	"Trial"	"ACC"	"RT"	"Twitches"	"Task"	"Congruence"	"Axes"	"HomLocation"
"243"	1	1	13	3	1	0.344676	4	"Flanker"	"Cong"	"NE.SW"	"LatOc"
"244"	1	1	13	4	1	0.434735	4	"Flanker"	"Incong"	"NE.SW"	"LatOc"
"245"	1	1	13	5	1	0.367662	4	"Flanker"	"Incong"	"NE.SW"	"LatOc"
"246"	1	1	13	6	1	0.563703	6	"Flanker"	"Incong"	"NW.SE"	"LatOc"
"247"	1	1	13	7	1	0.589532	6	"Flanker"	"Incong"	"NW.SE"	"LatOc"
"248"	1	1	13	8	1	0.567385	6	"Flanker"	"Cong"	"NW.SE"	"LatOc"
"249"	1	1	13	9	1	0.562355	6	"Flanker"	"Cong"	"NW.SE"	"LatOc"
"250"	1	1	13	10	1	0.62009	6	"Flanker"	"Cong"	"NW.SE"	"LatOc"
"251"	1	1	13	11	1	0.614511	7	"Flanker"	"Incong"	"N.S"	"LatOc"
"252"	1	1	13	12	1	0.672128	7	"Flanker"	"Incong"	"N.S"	"LatOc"
"253"	1	1	13	13	1	0.649881	7	"Flanker"	"Cong"	"N.S"	"LatOc"
"254"	1	1	13	14	1	0.675482	7	"Flanker"	"Cong"	"N.S"	"LatOc"
"255"	1	1	13	15	1	0.68576	7	"Flanker"	"Cong"	"N.S"	"LatOc"
"256"	1	1	13	16	1	0.544166	3	"Flanker"	"Cong"	"E.W"	"LatOc"
"257"	1	1	13	17	1	0.506231	3	"Flanker"	"Cong"	"E.W"	"LatOc"
"258"	1	1	13	18	1	0.62827	3	"Flanker"	"Incong"	"E.W"	"LatOc"
"259"	1	1	13	19	1	0.573986	3	"Flanker"	"Incong"	"E.W"	"LatOc"
"260"	1	1	13	20	1	0.519351	3	"Flanker"	"Incong"	"E.W"	"LatOc"
"261"	1	1	14	1	1	0.389991	1	"Flanker"	"Incong"	"NW.SE"	"PO3.4"
